;Matricule;Annee_academique;Niveau;Cursus;Filiere;Age;Annee_naissance;Genre;Distance_domicile_ecole;Note_moy_CC_S1;Note_moy_SN_S1;Note_moy_CC_S2;Note_moy_SN_S2;Moyenne_S1;Moyenne_S2;Moyenne_annuelle;Nb_matieres_validees;Nb_credits_obtenus;Nb_matieres_non_validees;Nb_heures_cours_total;Nb_heures_presence;Nb_projets;Reussite;ratio_heure;encodage_dist_dom;prediction
17;20G58520;2020/2021;1;ING;Tronc_commun;18;2002;M;>15km;12,06;15,05;10,76;12,57;13,85;11,84;12,85;20;60;0;420;387;3;1;0,92;2;1
18;20G44993;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;9,22;11,28;9,64;14,48;10,45;12,54;11,5;18;54;2;420;393;3;1;0,94;2;1
19;20G93227;2020/2021;1;ING;Tronc_commun;17;2003;M;<5km;16,42;17,09;13;17,53;16,82;15,72;16,27;20;60;0;420;367;3;1;0,87;2;1
20;20G70589;2020/2021;1;ING;Tronc_commun;18;2002;F;>15km;17,94;16,05;14,01;15,6;16,81;14,96;15,88;20;60;0;420;356;3;1;0,85;2;1
21;20G83000;2020/2021;1;ING;Tronc_commun;17;2003;F;<5km;17,85;14,58;16,1;16,63;15,89;16,42;16,15;20;60;0;420;336;3;1;0,8;2;1
22;20G40021;2020/2021;1;ING;Tronc_commun;17;2003;F;5-15km;9,67;13,67;9,6;11,55;12,07;10,77;11,42;20;60;0;420;382;3;1;0,91;0;1
23;20G45093;2020/2021;1;ING;Tronc_commun;17;2003;M;>15km;14,77;15,72;11,17;13,4;15,34;12,5;13,92;20;60;0;420;344;3;1;0,82;2;1
24;20G51245;2020/2021;1;ING;Tronc_commun;17;2003;F;5-15km;9,46;13,33;11,79;10,54;11,78;11,04;11,41;16;48;4;420;341;3;1;0,81;0;1
25;20G94259;2020/2021;1;ING;Tronc_commun;18;2002;M;5-15km;15,46;15,95;16,71;19,93;15,76;18,64;17,2;20;60;0;420;338;3;1;0,8;0;1
26;20G28301;2020/2021;1;ING;Tronc_commun;17;2003;F;>15km;16,19;14,57;16,02;15,22;15,21;15,54;15,38;20;60;0;420;376;3;1;0,9;2;1
27;20G86622;2020/2021;1;ING;Tronc_commun;18;2002;F;5-15km;14,75;13,52;16,24;14,67;14,01;15,3;14,66;20;60;0;420;333;3;1;0,79;0;1
28;20G38746;2020/2021;1;ING;Tronc_commun;17;2003;F;<5km;10,56;11,71;8,07;10,89;11,25;9,76;10,51;20;60;0;420;336;3;1;0,8;2;1
29;20G16175;2020/2021;1;ING;Tronc_commun;17;2003;M;>15km;4,85;8,95;6,13;10,43;7,31;8,71;8,01;13;39;7;420;191;3;0;0,45;2;0
30;20G30969;2020/2021;1;ING;Tronc_commun;19;2001;F;>15km;10,3;15,35;14,12;12,02;13,33;12,86;13,09;18;54;2;420;378;3;1;0,9;2;1
31;20G18326;2020/2021;1;ING;Tronc_commun;18;2002;F;>15km;8,15;9;6,27;6,38;8,66;6,34;7,5;10;30;10;420;318;3;0;0,76;2;0
32;20G71348;2020/2021;1;ING;Tronc_commun;19;2001;F;>15km;9,11;8,35;7,41;10,67;8,65;9,36;9,01;9;27;11;420;318;3;0;0,76;2;0
33;20G11504;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;18;18,24;14,52;15,89;18,15;15,34;16,74;16;48;4;420;401;3;1;0,95;2;1
34;20G80381;2020/2021;1;ING;Tronc_commun;18;2002;F;<5km;11,9;13,36;15,17;12,88;12,77;13,79;13,28;20;60;0;420;330;3;1;0,79;2;1
35;20G48469;2020/2021;1;ING;Tronc_commun;18;2002;M;5-15km;14,85;15,65;12,51;15,95;15,33;14,57;14,95;20;60;0;420;337;3;1;0,8;0;1
36;20G10425;2020/2021;1;ING;Tronc_commun;19;2001;F;>15km;13,34;13,85;13,85;13,89;13,65;13,87;13,76;20;60;0;420;369;3;1;0,88;2;1
37;20G33416;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;9,75;10,08;9,16;13,61;9,94;11,83;10,89;18;54;2;420;352;3;1;0,84;2;1
38;20G49117;2020/2021;1;ING;Tronc_commun;19;2001;M;<5km;17,29;19;16,65;17,94;18,32;17,43;17,87;20;60;0;420;362;3;1;0,86;2;1
39;20G59009;2020/2021;1;ING;Tronc_commun;17;2003;M;>15km;12,17;10,97;8,68;12,79;11,45;11,15;11,3;20;60;0;420;332;3;1;0,79;2;1
40;20G52487;2020/2021;1;ING;Tronc_commun;18;2002;M;<5km;19,29;19,62;16,37;15,59;19,49;15,91;17,7;20;60;0;420;404;3;1;0,96;2;1
41;20G57576;2020/2021;1;ING;Tronc_commun;18;2002;M;<5km;15,26;16,24;14,69;12,9;15,85;13,61;14,73;20;60;0;420;352;3;1;0,84;2;1
42;20G41571;2020/2021;1;ING;Tronc_commun;19;2001;M;<5km;6,92;7,04;8,36;11,64;6,99;10,33;8,66;14;42;6;420;284;3;0;0,68;2;0
43;20G73699;2020/2021;1;ING;Tronc_commun;17;2003;M;<5km;12,05;15,64;16,51;13,26;14,2;14,56;14,38;20;60;0;420;365;3;1;0,87;2;1
44;20G96474;2020/2021;1;ING;Tronc_commun;18;2002;M;5-15km;9,62;10,36;9,39;8,33;10,06;8,76;9,41;11;33;9;420;217;3;0;0,52;0;0
45;20G79163;2020/2021;1;ING;Tronc_commun;19;2001;F;<5km;17,53;18,81;18,04;17,03;18,3;17,44;17,87;20;60;0;420;363;3;1;0,86;2;1
46;20G80686;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;16,64;17,9;17,37;18,84;17,39;18,25;17,82;18;54;2;420;347;3;1;0,83;2;1
47;20G50857;2020/2021;1;ING;Tronc_commun;18;2002;F;5-15km;10,47;13,9;10,18;13,33;12,53;12,07;12,3;20;60;0;420;367;3;1;0,87;0;1
48;20G77839;2020/2021;1;ING;Tronc_commun;18;2002;M;<5km;12,25;10,44;9,48;14,41;11,17;12,43;11,8;19;57;1;420;349;3;1;0,83;2;1
49;20G39451;2020/2021;1;ING;Tronc_commun;17;2003;F;<5km;10,63;12,87;9,1;12,13;11,97;10,92;11,44;18;54;2;420;323;3;1;0,77;2;1
50;20G87110;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;10,35;11,12;10,81;12,04;10,81;11,55;11,18;18;54;2;420;409;3;1;0,97;2;1
51;20G38864;2020/2021;1;ING;Tronc_commun;17;2003;M;>15km;12,75;16,11;12,48;14,33;14,76;13,59;14,18;20;60;0;420;322;3;1;0,77;2;1
52;20G92719;2020/2021;1;ING;Tronc_commun;17;2003;M;<5km;5,93;6,17;4,33;3,6;6,07;3,89;4,98;10;30;10;420;197;3;0;0,47;2;0
53;20G14117;2020/2021;1;ING;Tronc_commun;18;2002;M;>15km;9,5;12;11,82;12,55;11;12,26;11,63;19;57;1;420;342;3;1;0,81;2;1
54;20G41195;2020/2021;1;ING;Tronc_commun;18;2002;F;<5km;18,33;18,06;17,7;17,47;18,17;17,56;17,86;20;60;0;420;338;3;1;0,8;2;1
55;20G80678;2020/2021;1;ING;Tronc_commun;17;2003;F;<5km;13,64;10,92;10,43;11,08;12,01;10,82;11,41;18;54;2;420;318;3;1;0,76;2;1
56;20G71993;2020/2021;1;ING;Tronc_commun;18;2002;M;<5km;17,36;17,21;14,33;17,3;17,27;16,11;16,69;20;60;0;420;360;3;1;0,86;2;1
57;20G22704;2020/2021;1;ING;Tronc_commun;19;2001;F;5-15km;10,55;11,38;11,46;12,56;11,05;12,12;11,59;15;45;5;420;319;3;1;0,76;0;0
58;20G65519;2020/2021;1;ING;Tronc_commun;18;2002;F;>15km;13,13;13,51;14,28;14,29;13,36;14,29;13,82;20;60;0;420;330;3;1;0,79;2;1
59;20G17100;2020/2021;1;ING;Tronc_commun;19;2001;M;<5km;10,93;8,7;10,67;13,27;9,59;12,23;10,91;19;57;1;420;370;3;1;0,88;2;1
60;20G62772;2020/2021;1;ING;Tronc_commun;19;2001;F;<5km;13,32;13,4;12,83;15,81;13,37;14,62;13,99;20;60;0;420;352;3;1;0,84;2;1
61;20G42591;2020/2021;1;ING;Tronc_commun;17;2003;M;>15km;11,1;7,85;6,09;7,28;9,15;6,8;7,97;11;33;9;420;171;3;0;0,41;2;0
62;20G68800;2020/2021;1;ING;Tronc_commun;17;2003;F;<5km;11,25;9,11;9,52;12,98;9,97;11,59;10,78;18;54;2;420;317;3;1;0,75;2;1
63;20G46509;2020/2021;1;ING;Tronc_commun;18;2002;M;<5km;14,93;15,11;17;17,66;15,03;17,4;16,22;20;60;0;420;399;3;1;0,95;2;1
64;20G68082;2020/2021;1;ING;Tronc_commun;19;2001;M;<5km;16,9;15,29;13,77;17,63;15,93;16,09;16,01;20;60;0;420;392;3;1;0,93;2;1
65;20G95477;2020/2021;1;ING;Tronc_commun;19;2001;M;<5km;16,99;17,44;18,81;17,31;17,26;17,91;17,58;20;60;0;420;404;3;1;0,96;2;1
66;20G40982;2020/2021;1;ING;Tronc_commun;17;2003;F;5-15km;16,01;18,62;17,64;15,38;17,58;16,29;16,93;20;60;0;420;402;3;1;0,96;0;1
67;20G73092;2020/2021;1;ING;Tronc_commun;17;2003;F;<5km;15,17;13,64;15,52;13,99;14,26;14,6;14,43;16;48;4;420;316;3;1;0,75;2;0
68;20G31579;2020/2021;1;ING;Tronc_commun;18;2002;M;5-15km;14,7;16,76;18,99;19,77;15,94;19,46;17,7;20;60;0;420;370;3;1;0,88;0;1
69;20G44760;2020/2021;1;ING;Tronc_commun;18;2002;F;5-15km;6,42;6,49;5,7;8,76;6,46;7,54;7;12;36;8;420;294;3;0;0,7;0;0
70;20G82845;2020/2021;1;ING;Tronc_commun;19;2001;F;<5km;17,28;14,79;15,8;14,62;15,79;15,09;15,44;20;60;0;420;368;3;1;0,88;2;1
71;20G34890;2020/2021;1;ING;Tronc_commun;18;2002;M;<5km;7,93;5,71;3,31;4,46;6,6;4;5,3;9;27;11;420;295;3;0;0,7;2;0
72;20G85914;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;12,45;13,37;15,45;13,31;13;14,17;13,58;20;60;0;420;394;3;1;0,94;2;1
73;20G51104;2020/2021;1;ING;Tronc_commun;17;2003;M;>15km;13,06;14,07;17,58;15,52;13,67;16,35;15,01;20;60;0;420;350;3;1;0,83;2;1
74;20G72493;2020/2021;1;ING;Tronc_commun;19;2001;M;<5km;18,24;19,43;17,27;16,38;18,95;16,74;17,85;20;60;0;420;323;3;1;0,77;2;1
75;20G76562;2020/2021;1;ING;Tronc_commun;17;2003;M;<5km;16,01;16,34;17,75;14,77;16,21;15,96;16,09;20;60;0;420;362;3;1;0,86;2;1
76;20G87992;2020/2021;1;ING;Tronc_commun;17;2003;M;5-15km;9,92;8,37;8,49;8,68;8,99;8,6;8,8;20;60;0;420;377;3;1;0,9;0;1
77;20G25713;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;7,9;11,17;6,65;7,12;9,87;6,93;8,4;9;27;11;420;313;3;0;0,75;2;0
78;20G87924;2020/2021;1;ING;Tronc_commun;17;2003;M;5-15km;13,6;9,85;13,64;10;11,35;11,46;11,4;20;60;0;420;401;3;1;0,95;0;1
79;20G96163;2020/2021;1;ING;Tronc_commun;19;2001;F;5-15km;16,19;12,59;13,99;17,07;14,03;15,84;14,93;20;60;0;420;365;3;1;0,87;0;1
80;20G36772;2020/2021;1;ING;Tronc_commun;19;2001;F;<5km;15,51;15,31;15,17;15,96;15,39;15,64;15,52;18;54;2;420;402;3;1;0,96;2;1
81;20G44814;2020/2021;1;ING;Tronc_commun;18;2002;M;>15km;9,23;13,12;11,88;10,64;11,56;11,14;11,35;15;45;5;420;374;3;1;0,89;2;1
82;20G94607;2020/2021;1;ING;Tronc_commun;18;2002;F;5-15km;2,77;5,42;3,76;6,14;4,36;5,19;4,77;10;30;10;420;181;3;0;0,43;0;0
83;20G19508;2020/2021;1;ING;Tronc_commun;17;2003;F;>15km;19,73;18,73;17,48;17,1;19,13;17,25;18,19;20;60;0;420;393;3;1;0,94;2;1
84;20G83792;2020/2021;1;ING;Tronc_commun;17;2003;M;>15km;13,29;18,03;16,59;18,23;16,14;17,57;16,85;20;60;0;420;385;3;1;0,92;2;1
85;20G37938;2020/2021;1;ING;Tronc_commun;19;2001;F;<5km;6,13;10,22;8,82;4,89;8,58;6,46;7,52;14;42;6;420;172;3;0;0,41;2;0
86;20G55745;2020/2021;1;ING;Tronc_commun;17;2003;M;5-15km;14,06;15,95;10,76;13,98;15,19;12,69;13,94;20;60;0;420;351;3;1;0,84;0;1
87;20G47353;2020/2021;1;ING;Tronc_commun;17;2003;F;>15km;18,97;19,31;17,1;17,52;19,18;17,35;18,26;15;45;5;420;341;3;1;0,81;2;1
88;20G49651;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;5,52;6,21;6,33;7,31;5,93;6,92;6,43;11;33;9;420;261;3;0;0,62;2;0
89;20G82692;2020/2021;1;ING;Tronc_commun;18;2002;M;<5km;17,88;18,4;14,39;16,4;18,19;15,6;16,89;20;60;0;420;327;3;1;0,78;2;1
90;20G44664;2020/2021;1;ING;Tronc_commun;17;2003;M;>15km;17,66;16,63;17,99;18,33;17,04;18,2;17,62;20;60;0;420;349;3;1;0,83;2;1
91;20G82512;2020/2021;1;ING;Tronc_commun;17;2003;F;5-15km;11,3;11,51;11,79;11,51;11,42;11,62;11,52;20;60;0;420;397;3;1;0,95;0;1
92;20G89276;2020/2021;1;ING;Tronc_commun;17;2003;F;<5km;6,62;9,52;5,68;5,06;8,36;5,31;6,83;14;42;6;420;172;3;0;0,41;2;0
93;20G93130;2020/2021;1;ING;Tronc_commun;18;2002;F;5-15km;16,14;17,56;14,11;14,72;16,99;14,48;15,74;20;60;0;420;316;3;1;0,75;0;1
94;20G16658;2020/2021;1;ING;Tronc_commun;17;2003;F;5-15km;12,75;12,77;11,99;15,33;12,76;13,99;13,38;20;60;0;420;348;3;1;0,83;0;1
95;20G15778;2020/2021;1;ING;Tronc_commun;17;2003;F;<5km;15,03;14,09;14,22;16,42;14,47;15,54;15,01;18;54;2;420;406;3;1;0,97;2;1
96;20G93507;2020/2021;1;ING;Tronc_commun;18;2002;M;>15km;12,81;11,64;9,47;11,47;12,11;10,67;11,39;18;54;2;420;409;3;1;0,97;2;1
97;20G67912;2020/2021;1;ING;Tronc_commun;19;2001;F;>15km;12,58;15,11;12,14;12,32;14,1;12,25;13,17;20;60;0;420;327;3;1;0,78;2;1
98;20G11267;2020/2021;1;ING;Tronc_commun;17;2003;M;>15km;8,78;9,72;11,23;9,93;9,34;10,45;9,9;20;60;0;420;348;3;1;0,83;2;1
99;20G29536;2020/2021;1;ING;Tronc_commun;19;2001;M;5-15km;16,54;18,4;15,04;16,1;17,66;15,68;16,67;20;60;0;420;318;3;1;0,76;0;1
100;20G86350;2020/2021;1;ING;Tronc_commun;19;2001;M;5-15km;9,74;10,24;8,79;9,95;10,04;9,49;9,77;20;60;0;420;359;3;1;0,85;0;1
101;20G26704;2020/2021;1;ING;Tronc_commun;17;2003;F;5-15km;10,47;12,17;12,1;9,85;11,49;10,75;11,12;20;60;0;420;392;3;1;0,93;0;1
102;20G15229;2020/2021;1;ING;Tronc_commun;18;2002;M;>15km;12,43;17,39;16,63;13,33;15,41;14,65;15,03;20;60;0;420;341;3;1;0,81;2;1
103;20G42706;2020/2021;1;ING;Tronc_commun;19;2001;M;5-15km;17,19;15,37;14,5;16,3;16,1;15,58;15,84;18;54;2;420;361;3;1;0,86;0;1
104;20G83385;2020/2021;1;ING;Tronc_commun;18;2002;M;<5km;13,79;15,26;15,68;13,13;14,67;14,15;14,41;19;57;1;420;339;3;1;0,81;2;1
105;20G31299;2020/2021;1;ING;Tronc_commun;17;2003;F;<5km;17,18;16,27;15,37;14,24;16,63;14,69;15,66;20;60;0;420;358;3;1;0,85;2;1
106;20G33509;2020/2021;1;ING;Tronc_commun;19;2001;F;5-15km;12,47;13,61;13,15;12,36;13,15;12,68;12,91;20;60;0;420;346;3;1;0,82;0;1
107;20G97806;2020/2021;1;ING;Tronc_commun;19;2001;M;5-15km;10,33;10,29;13,14;12,66;10,31;12,85;11,58;18;54;2;420;380;3;1;0,9;0;1
108;20G30866;2020/2021;1;ING;Tronc_commun;19;2001;M;5-15km;7,65;6,18;7,88;9,18;6,77;8,66;7,71;13;39;7;420;293;3;0;0,7;0;0
109;20G15075;2020/2021;1;ING;Tronc_commun;18;2002;M;<5km;11,09;12,87;12,27;14,68;12,16;13,72;12,94;20;60;0;420;370;3;1;0,88;2;1
110;20G70332;2020/2021;1;ING;Tronc_commun;18;2002;F;<5km;14,78;13,88;11,03;11,36;14,24;11,23;12,73;20;60;0;420;329;3;1;0,78;2;1
111;20G39219;2020/2021;1;ING;Tronc_commun;17;2003;M;5-15km;9,77;10,9;10,39;10,83;10,45;10,66;10,55;18;54;2;420;401;3;1;0,95;0;1
112;20G53025;2020/2021;1;ING;Tronc_commun;18;2002;M;5-15km;10,43;10,69;12,56;9,2;10,59;10,55;10,57;18;54;2;420;353;3;1;0,84;0;1
113;20G56025;2020/2021;1;ING;Tronc_commun;19;2001;F;>15km;19,08;19,22;16,05;16,48;19,17;16,31;17,74;20;60;0;420;379;3;1;0,9;2;1
114;20G80282;2020/2021;1;ING;Tronc_commun;18;2002;M;<5km;17,22;18,04;15,83;18,95;17,71;17,7;17,71;20;60;0;420;333;3;1;0,79;2;1
115;20G44237;2020/2021;1;ING;Tronc_commun;17;2003;F;<5km;11,72;13,13;10,8;11,16;12,56;11,02;11,79;17;51;3;420;373;3;1;0,89;2;1
116;20G24208;2020/2021;1;ING;Tronc_commun;19;2001;F;5-15km;12,22;11,08;11,71;12,97;11,53;12,47;12;20;60;0;420;320;3;1;0,76;0;1
117;20G51114;2020/2021;1;ING;Tronc_commun;18;2002;M;5-15km;10,36;11,01;14,64;12,3;10,75;13,24;12;20;60;0;420;393;3;1;0,94;0;1
118;20G85574;2020/2021;1;ING;Tronc_commun;17;2003;F;<5km;5,59;7,06;5,08;5,33;6,47;5,23;5,85;8;24;12;420;237;3;0;0,56;2;0
119;20G67154;2020/2021;1;ING;Tronc_commun;17;2003;M;5-15km;7,64;8,04;7,85;3,8;7,88;5,42;6,65;14;42;6;420;290;3;0;0,69;0;0
120;20G66531;2020/2021;1;ING;Tronc_commun;17;2003;F;>15km;15,41;15,81;18,21;18,09;15,65;18,14;16,89;20;60;0;420;396;3;1;0,94;2;1
121;20G51145;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;12,09;10,13;8,94;9,94;10,91;9,54;10,23;19;57;1;420;393;3;1;0,94;2;1
122;20G49363;2020/2021;1;ING;Tronc_commun;19;2001;F;>15km;14,94;15,12;16,71;15,28;15,04;15,85;15,45;20;60;0;420;393;3;1;0,94;2;1
123;20G63528;2020/2021;1;ING;Tronc_commun;18;2002;F;>15km;12,4;13,83;12,02;15,25;13,26;13,96;13,61;20;60;0;420;363;3;1;0,86;2;1
124;20G48752;2020/2021;1;ING;Tronc_commun;19;2001;M;<5km;13,36;11,78;11,58;14,39;12,41;13,26;12,84;20;60;0;420;375;3;1;0,89;2;1
125;20G65108;2020/2021;1;ING;Tronc_commun;19;2001;F;>15km;12,64;12,07;9,65;9,63;12,3;9,64;10,97;18;54;2;420;391;3;1;0,93;2;1
126;20G32810;2020/2021;1;ING;Tronc_commun;19;2001;F;5-15km;14,63;17,43;15,9;13,72;16,31;14,59;15,45;20;60;0;420;345;3;1;0,82;0;1
127;20G81819;2020/2021;1;ING;Tronc_commun;17;2003;F;5-15km;12,71;10,16;11,84;13,8;11,18;13,02;12,1;20;60;0;420;399;3;1;0,95;0;1
128;20G37549;2020/2021;1;ING;Tronc_commun;18;2002;F;5-15km;6,95;3,68;7,1;3,78;4,99;5,11;5,05;8;24;12;420;234;3;0;0,56;0;0
129;20G67905;2020/2021;1;ING;Tronc_commun;18;2002;M;>15km;14,13;15,52;16,99;17,98;14,97;17,58;16,27;20;60;0;420;376;3;1;0,9;2;1
130;20G72021;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;15,27;14,81;14,28;14,46;14,99;14,39;14,69;20;60;0;420;402;3;1;0,96;2;1
131;20G21114;2020/2021;1;ING;Tronc_commun;18;2002;F;<5km;13,67;14,98;16,4;13,43;14,45;14,62;14,54;20;60;0;420;371;3;1;0,88;2;1
132;20G40784;2020/2021;1;ING;Tronc_commun;19;2001;F;<5km;14,1;12,14;15,41;16,71;12,92;16,19;14,56;16;48;4;420;369;3;1;0,88;2;1
133;20G36100;2020/2021;1;ING;Tronc_commun;17;2003;M;<5km;9,65;9,35;5,03;8,57;9,47;7,15;8,31;12;36;8;420;269;3;0;0,64;2;0
134;20G42092;2020/2021;1;ING;Tronc_commun;18;2002;M;5-15km;14,08;16,06;15,02;13,65;15,27;14,2;14,73;20;60;0;420;325;3;1;0,77;0;1
135;20G64321;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;10,84;7,56;11,34;12,03;8,87;11,75;10,31;8;24;12;420;255;3;0;0,61;2;0
136;20G60328;2020/2021;1;ING;Tronc_commun;18;2002;F;<5km;13,73;13;13,41;16,74;13,29;15,41;14,35;20;60;0;420;315;3;1;0,75;2;1
137;20G29342;2020/2021;1;ING;Tronc_commun;19;2001;M;<5km;11,66;13,35;14,27;12,4;12,68;13,15;12,91;20;60;0;420;348;3;1;0,83;2;1
138;20G65724;2020/2021;1;ING;Tronc_commun;17;2003;M;>15km;15,16;15,02;15,16;14,6;15,08;14,83;14,95;17;51;3;420;332;3;1;0,79;2;1
139;20G77889;2020/2021;1;ING;Tronc_commun;18;2002;M;>15km;13,08;16,56;12,8;14,89;15,17;14,05;14,61;20;60;0;420;376;3;1;0,9;2;1
140;20G42662;2020/2021;1;ING;Tronc_commun;17;2003;F;<5km;10,72;8,99;11,94;8,85;9,69;10,09;9,89;19;57;1;420;355;3;1;0,85;2;1
141;20G70901;2020/2021;1;ING;Tronc_commun;19;2001;F;5-15km;12,67;11,19;10,79;9,02;11,78;9,73;10,75;18;54;2;420;387;3;1;0,92;0;1
142;20G90301;2020/2021;1;ING;Tronc_commun;19;2001;F;>15km;13,17;10,7;9,63;9,86;11,69;9,77;10,73;18;54;2;420;360;3;1;0,86;2;1
143;20G68446;2020/2021;1;ING;Tronc_commun;17;2003;F;5-15km;11,85;16,4;13,79;15,14;14,58;14,6;14,59;18;54;2;420;357;3;1;0,85;0;1
144;20G43972;2020/2021;1;ING;Tronc_commun;17;2003;F;>15km;13;11,98;11,12;15,52;12,39;13,76;13,07;17;51;3;420;406;3;1;0,97;2;1
145;20G73517;2020/2021;1;ING;Tronc_commun;19;2001;M;5-15km;3,83;7,07;4,65;3,35;5,77;3,87;4,82;9;27;11;420;194;3;0;0,46;0;0
146;20G67654;2020/2021;1;ING;Tronc_commun;17;2003;F;<5km;16,02;13,86;13,84;14,88;14,73;14,46;14,6;20;60;0;420;379;3;1;0,9;2;1
147;20G45614;2020/2021;1;ING;Tronc_commun;18;2002;F;>15km;8,43;12,16;8,74;11,42;10,67;10,35;10,51;19;57;1;420;338;3;1;0,8;2;1
148;20G20561;2020/2021;1;ING;Tronc_commun;17;2003;M;<5km;2,05;5,92;5,72;6,57;4,37;6,23;5,3;13;39;7;420;234;3;0;0,56;2;0
149;20G60205;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;13,37;14,81;16,83;13,41;14,23;14,78;14,51;20;60;0;420;323;3;1;0,77;2;1
150;20G38043;2020/2021;1;ING;Tronc_commun;17;2003;F;5-15km;8,8;10,57;11,58;11,77;9,86;11,69;10,78;19;57;1;420;401;3;1;0,95;0;1
151;20G53369;2020/2021;1;ING;Tronc_commun;19;2001;F;5-15km;15,25;15,84;15,44;17,49;15,6;16,67;16,14;17;51;3;420;340;3;1;0,81;0;1
152;20G18161;2020/2021;1;ING;Tronc_commun;17;2003;F;5-15km;14,04;15,75;14,17;14,47;15,07;14,35;14,71;20;60;0;420;406;3;1;0,97;0;1
153;20G86556;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;5,35;10,72;7,43;10,87;8,57;9,5;9,03;14;42;6;420;302;3;0;0,72;2;0
154;20G59857;2020/2021;1;ING;Tronc_commun;18;2002;M;5-15km;10,51;12,75;13,11;14,57;11,85;13,99;12,92;20;60;0;420;339;3;1;0,81;0;1
