Type_ressource,Identifiant_ressource,Nom_matiere,Filiere,Niveau,Cursus,Annee_academique,Date,Heure_debut,Heure_fin,Type_cours,Periode_annee,Nb_personnes,Capacite,Enseignant_id,Videoprojecteur,Chevauchement,Etat_utilisation_ressource
Labo,Labo-Physique2,Cours GAM N5S1-4,GAM,5,ING,2020/2021,2020-10-09,07:30,11:30,TP,Semestre 1,13,40,ENS-GAM-0010,NON,NON,BIEN_UTILISE
Labo,Labo-INFO,Cours GAM N5S1-4,GAM,5,ING,2020/2021,2020-11-28,12:30,16:30,TP,Semestre 1,13,50,ENS-GAM-0002,NON,NON,BIEN_UTILISE
Salle,21BP2,Structures Métalliques,GCI,4,ING,2020/2021,2020-09-16,07:30,11:30,CM,Semestre 1,74,120,ENS-GCI-0002,OUI,NON,BIEN_UTILISE
Salle,31BP2,Structures Métalliques,GCI,4,ING,2020/2021,2020-11-24,07:30,11:30,CM,Semestre 1,74,120,ENS-GCI-0015,OUI,NON,BIEN_UTILISE
Salle,21BP2,Structures Métalliques,GCI,4,ING,2020/2021,2020-10-20,07:30,11:30,CM,Semestre 1,74,120,ENS-GCI-0003,OUI,NON,BIEN_UTILISE
Salle,21BP1,Structures Métalliques,GCI,4,ING,2020/2021,2020-10-12,12:30,16:30,TD,Semestre 1,37,60,ENS-GCI-0004,OUI,NON,BIEN_UTILISE
Salle,26BP2,Structures Métalliques,GCI,4,ING,2020/2021,2020-12-19,07:30,11:30,TD,Semestre 1,37,120,ENS-GCI-0011,OUI,NON,BIEN_UTILISE
Labo,Labo-GCI,Structures Métalliques,GCI,4,ING,2020/2021,2021-01-08,07:30,11:30,TP,Semestre 1,24,35,ENS-GCI-0010,NON,NON,BIEN_UTILISE
Labo,Labo-GCI,Structures Métalliques,GCI,4,ING,2020/2021,2020-09-07,07:30,11:30,TP,Semestre 1,24,35,ENS-GCI-0015,NON,NON,BIEN_UTILISE
Salle,27BS2,Mécanique des Fluides,GM,3,ING,2020/2021,2020-10-28,12:30,16:30,CM,Semestre 1,12,120,ENS-GM-0003,OUI,NON,BIEN_UTILISE
Salle,29BP1,Mécanique des Fluides,GM,3,ING,2020/2021,2020-11-07,07:30,11:30,CM,Semestre 1,12,60,ENS-GM-0015,OUI,NON,BIEN_UTILISE
Salle,03BS0,Mécanique des Fluides,GM,3,ING,2020/2021,2020-11-07,07:30,11:30,CM,Semestre 1,12,60,ENS-GM-0009,NON,NON,SOUS_UTILISE
Salle,31BP1,Mécanique des Fluides,GM,3,ING,2020/2021,2020-09-24,07:30,11:30,TD,Semestre 1,6,60,ENS-GM-0003,OUI,NON,BIEN_UTILISE
Salle,19BP1,Mécanique des Fluides,GM,3,ING,2020/2021,2020-11-09,12:30,16:30,TD,Semestre 1,6,60,ENS-GM-0003,OUI,NON,BIEN_UTILISE
Labo,Labo-GM,Mécanique des Fluides,GM,3,ING,2020/2021,2020-10-24,12:30,16:30,TP,Semestre 1,4,35,ENS-GM-0010,NON,NON,BIEN_UTILISE
Labo,Labo-GM,Mécanique des Fluides,GM,3,ING,2020/2021,2020-11-03,12:30,16:30,TP,Semestre 1,4,35,ENS-GM-0007,NON,NON,BIEN_UTILISE
Salle,31BS2,Hydraulique,GCI,5,ING,2020/2021,2020-09-05,07:30,11:30,CM,Semestre 1,66,120,ENS-GCI-0007,OUI,NON,BIEN_UTILISE
Salle,21BP2,Hydraulique,GCI,5,ING,2020/2021,2020-11-07,07:30,11:30,CM,Semestre 1,66,120,ENS-GCI-0004,OUI,NON,BIEN_UTILISE
Salle,27BP2,Hydraulique,GCI,5,ING,2020/2021,2020-12-09,07:30,11:30,CM,Semestre 1,66,120,ENS-GCI-0007,OUI,OUI,BIEN_UTILISE
Salle,25BS1,Hydraulique,GCI,5,ING,2020/2021,2020-10-16,07:30,11:30,TD,Semestre 1,33,60,ENS-GCI-0003,OUI,NON,BIEN_UTILISE
Salle,27BS2,Hydraulique,GCI,5,ING,2020/2021,2020-12-07,07:30,11:30,TD,Semestre 1,33,120,ENS-GCI-0013,OUI,NON,BIEN_UTILISE
Labo,Labo-GCI,Hydraulique,GCI,5,ING,2020/2021,2020-09-08,07:30,11:30,TP,Semestre 1,22,35,ENS-GCI-0004,NON,NON,BIEN_UTILISE
Labo,Labo-GCI,Hydraulique,GCI,5,ING,2020/2021,2020-11-24,07:30,11:30,TP,Semestre 1,22,35,ENS-GCI-0011,NON,NON,BIEN_UTILISE
Salle,18BS2,Cours GESI N4S1-2,GESI,4,ING,2020/2021,2020-10-16,07:30,11:30,CM,Semestre 1,42,60,ENS-GIT-0008,NON,NON,BIEN_UTILISE
Salle,31BP1,Cours GESI N4S1-2,GESI,4,ING,2020/2021,2020-09-15,07:30,11:30,CM,Semestre 1,42,60,ENS-GIT-0022,OUI,NON,BIEN_UTILISE
Salle,04BS0,Cours GESI N4S1-2,GESI,4,ING,2020/2021,2020-09-16,07:30,11:30,CM,Semestre 1,42,60,ENS-GIT-0002,OUI,NON,BIEN_UTILISE
Salle,32BS2,Cours GESI N4S1-2,GESI,4,ING,2020/2021,2020-12-15,07:30,11:30,TD,Semestre 1,21,60,ENS-GIT-0006,OUI,NON,BIEN_UTILISE
Salle,25BS2,Cours GESI N4S1-2,GESI,4,ING,2020/2021,2021-01-09,12:30,16:30,TD,Semestre 1,21,60,ENS-GIT-0021,NON,NON,BIEN_UTILISE
Labo,Labo-INFO,Cours GESI N4S1-2,GESI,4,ING,2020/2021,2020-11-03,07:30,11:30,TP,Semestre 1,14,50,ENS-GIT-0022,NON,NON,BIEN_UTILISE
Labo,Labo-INFO,Cours GESI N4S1-2,GESI,4,ING,2020/2021,2020-11-17,07:30,11:30,TP,Semestre 1,14,50,ENS-GIT-0025,NON,NON,BIEN_UTILISE
Salle,18BP2,Cours MEMA N5S1-2,MEMA,5,SCI ING,2020/2021,2020-11-11,07:30,11:30,CM,Semestre 1,52,60,ENS-GM-0014,OUI,OUI,BIEN_UTILISE
Salle,20BP2,Cours MEMA N5S1-2,MEMA,5,SCI ING,2020/2021,2020-11-30,07:30,11:30,CM,Semestre 1,52,120,ENS-GM-0011,NON,NON,SOUS_UTILISE
Salle,27BP1,Cours MEMA N5S1-2,MEMA,5,SCI ING,2020/2021,2020-09-18,07:30,11:30,CM,Semestre 1,52,60,ENS-GM-0005,OUI,NON,BIEN_UTILISE
Salle,32BS1,Cours MEMA N5S1-2,MEMA,5,SCI ING,2020/2021,2020-09-15,12:30,16:30,TD,Semestre 1,26,60,ENS-GM-0003,NON,NON,BIEN_UTILISE
Salle,27BS1,Cours MEMA N5S1-2,MEMA,5,SCI ING,2020/2021,2020-10-20,12:30,16:30,TD,Semestre 1,26,60,ENS-GM-0008,OUI,NON,BIEN_UTILISE
Labo,Labo-GM,Cours MEMA N5S1-2,MEMA,5,SCI ING,2020/2021,2021-01-12,12:30,16:30,TP,Semestre 1,17,35,ENS-GM-0015,NON,NON,BIEN_UTILISE
Labo,Labo-GM,Cours MEMA N5S1-2,MEMA,5,SCI ING,2020/2021,2020-11-07,12:30,16:30,TP,Semestre 1,17,35,ENS-GM-0012,NON,NON,BIEN_UTILISE
Salle,22BS1,Cours GMP N3S1-3,GMP,3,ING,2020/2021,2020-12-17,07:30,11:30,CM,Semestre 1,9,60,ENS-GMP-0007,OUI,NON,BIEN_UTILISE
Salle,28BS2,Cours GMP N3S1-3,GMP,3,ING,2020/2021,2020-10-26,12:30,16:30,CM,Semestre 1,9,60,ENS-GMP-0007,OUI,OUI,SOUS_UTILISE
Salle,32BS2,Cours GMP N3S1-3,GMP,3,ING,2020/2021,2020-11-26,07:30,11:30,CM,Semestre 1,9,60,ENS-GMP-0003,OUI,NON,BIEN_UTILISE
Salle,22BP1,Cours GMP N3S1-3,GMP,3,ING,2020/2021,2020-10-14,12:30,16:30,TD,Semestre 1,4,60,ENS-GMP-0007,NON,NON,BIEN_UTILISE
Salle,01BP0,Cours GMP N3S1-3,GMP,3,ING,2020/2021,2020-11-05,12:30,16:30,TD,Semestre 1,4,60,ENS-GMP-0004,OUI,NON,BIEN_UTILISE
Labo,Labo-GMP,Cours GMP N3S1-3,GMP,3,ING,2020/2021,2020-09-15,12:30,16:30,TP,Semestre 1,3,35,ENS-GMP-0006,NON,NON,BIEN_UTILISE
Labo,Labo-GMP,Cours GMP N3S1-3,GMP,3,ING,2020/2021,2020-11-02,12:30,16:30,TP,Semestre 1,3,35,ENS-GMP-0004,NON,NON,BIEN_UTILISE
Salle,28BP2,Cours GQHSE N3S1-1,GQHSE,3,ING,2020/2021,2021-01-14,07:30,11:30,CM,Semestre 1,3,60,ENS-GQHSE-0006,OUI,OUI,SOUS_UTILISE
Salle,02BP0,Cours GQHSE N3S1-1,GQHSE,3,ING,2020/2021,2021-01-08,12:30,16:30,CM,Semestre 1,3,60,ENS-GQHSE-0002,NON,OUI,SOUS_UTILISE
Salle,18BP2,Cours GQHSE N3S1-1,GQHSE,3,ING,2020/2021,2020-10-08,12:30,16:30,CM,Semestre 1,3,60,ENS-GQHSE-0005,OUI,NON,BIEN_UTILISE
Salle,25BP2,Cours GQHSE N3S1-1,GQHSE,3,ING,2020/2021,2020-11-26,12:30,16:30,TD,Semestre 1,1,60,ENS-GQHSE-0005,OUI,NON,BIEN_UTILISE
Salle,19BP2,Cours GQHSE N3S1-1,GQHSE,3,ING,2020/2021,2020-09-09,12:30,16:30,TD,Semestre 1,1,60,ENS-GQHSE-0007,OUI,NON,BIEN_UTILISE
Labo,Labo-GCI,Cours GQHSE N3S1-1,GQHSE,3,ING,2020/2021,2020-12-10,12:30,16:30,TP,Semestre 1,1,35,ENS-GQHSE-0005,NON,NON,BIEN_UTILISE
Labo,Labo-GPR-Chimie2,Cours GQHSE N3S1-1,GQHSE,3,ING,2020/2021,2020-10-12,07:30,11:30,TP,Semestre 1,1,30,ENS-GQHSE-0001,NON,NON,BIEN_UTILISE
Salle,33BP1,Deep Learning,SDIA,4,SCI ING,2020/2021,2020-09-29,12:30,16:30,CM,Semestre 1,50,60,ENS-GIT-0024,NON,NON,BIEN_UTILISE
Salle,24BS2,Deep Learning,SDIA,4,SCI ING,2020/2021,2020-11-09,07:30,11:30,CM,Semestre 1,50,60,ENS-GIT-0007,OUI,NON,BIEN_UTILISE
Salle,03BP0,Deep Learning,SDIA,4,SCI ING,2020/2021,2021-01-04,07:30,11:30,CM,Semestre 1,50,60,ENS-GIT-0006,OUI,NON,BIEN_UTILISE
Salle,06BP0,Deep Learning,SDIA,4,SCI ING,2020/2021,2020-10-15,12:30,16:30,TD,Semestre 1,25,60,ENS-GIT-0017,OUI,NON,BIEN_UTILISE
Salle,27BP1,Deep Learning,SDIA,4,SCI ING,2020/2021,2020-10-22,07:30,11:30,TD,Semestre 1,25,60,ENS-GIT-0020,OUI,NON,BIEN_UTILISE
Labo,Labo-INFO,Deep Learning,SDIA,4,SCI ING,2020/2021,2021-01-08,12:30,16:30,TP,Semestre 1,16,50,ENS-GIT-0010,NON,NON,BIEN_UTILISE
Labo,Labo-INFO,Deep Learning,SDIA,4,SCI ING,2020/2021,2020-12-18,12:30,16:30,TP,Semestre 1,16,50,ENS-GIT-0025,NON,NON,BIEN_UTILISE
Salle,27BS2,Géotechnique,GCI,5,ING,2020/2021,2020-11-18,07:30,11:30,CM,Semestre 1,71,120,ENS-GCI-0002,OUI,NON,BIEN_UTILISE
Salle,26BS2,Géotechnique,GCI,5,ING,2020/2021,2020-12-16,07:30,11:30,CM,Semestre 1,71,120,ENS-GCI-0015,NON,NON,BIEN_UTILISE
Salle,33BS2,Géotechnique,GCI,5,ING,2020/2021,2020-09-26,12:30,16:30,CM,Semestre 1,71,120,ENS-GCI-0014,OUI,OUI,BIEN_UTILISE
Salle,07BP0,Géotechnique,GCI,5,ING,2020/2021,2020-09-09,07:30,11:30,TD,Semestre 1,35,60,ENS-GCI-0009,OUI,NON,BIEN_UTILISE
Salle,19BP2,Géotechnique,GCI,5,ING,2020/2021,2020-09-22,12:30,16:30,TD,Semestre 1,35,60,ENS-GCI-0009,OUI,NON,BIEN_UTILISE
Labo,Labo-GCI,Géotechnique,GCI,5,ING,2020/2021,2020-10-31,07:30,11:30,TP,Semestre 1,23,35,ENS-GCI-0012,NON,NON,BIEN_UTILISE
Labo,Labo-GCI,Géotechnique,GCI,5,ING,2020/2021,2020-10-29,12:30,16:30,TP,Semestre 1,23,35,ENS-GCI-0009,NON,NON,BIEN_UTILISE
Salle,26BP2,Cours Energie N5S1-3,Energie,5,SCI ING,2020/2021,2020-11-17,12:30,16:30,CM,Semestre 1,42,120,ENS-GE-0008,OUI,NON,BIEN_UTILISE
Salle,30BS2,Cours Energie N5S1-3,Energie,5,SCI ING,2020/2021,2020-11-07,07:30,11:30,CM,Semestre 1,42,60,ENS-GE-0004,OUI,NON,BIEN_UTILISE
Salle,29BS2,Cours Energie N5S1-3,Energie,5,SCI ING,2020/2021,2020-10-31,12:30,16:30,CM,Semestre 1,42,60,ENS-GE-0008,NON,NON,BIEN_UTILISE
Salle,24BS1,Cours Energie N5S1-3,Energie,5,SCI ING,2020/2021,2020-12-16,12:30,16:30,TD,Semestre 1,21,60,ENS-GE-0008,OUI,NON,BIEN_UTILISE
Salle,05BS0,Cours Energie N5S1-3,Energie,5,SCI ING,2020/2021,2020-09-28,07:30,11:30,TD,Semestre 1,21,60,ENS-GE-0006,OUI,NON,BIEN_UTILISE
Labo,Labo-Energie,Cours Energie N5S1-3,Energie,5,SCI ING,2020/2021,2020-10-05,07:30,11:30,TP,Semestre 1,14,40,ENS-GE-0007,NON,NON,BIEN_UTILISE
Labo,Labo-Energie,Cours Energie N5S1-3,Energie,5,SCI ING,2020/2021,2020-11-10,07:30,11:30,TP,Semestre 1,14,40,ENS-GE-0012,NON,NON,BIEN_UTILISE
Salle,32BP1,Bases de données,GIT,5,ING,2020/2021,2020-11-13,07:30,11:30,CM,Semestre 1,55,60,ENS-GIT-0024,NON,NON,SOUS_UTILISE
Salle,30BS2,Bases de données,GIT,5,ING,2020/2021,2020-09-25,07:30,11:30,CM,Semestre 1,55,60,ENS-GIT-0008,OUI,NON,BIEN_UTILISE
Salle,34BS2,Bases de données,GIT,5,ING,2020/2021,2020-12-18,12:30,16:30,CM,Semestre 1,55,60,ENS-GIT-0012,OUI,NON,BIEN_UTILISE
Salle,03BP0,Bases de données,GIT,5,ING,2020/2021,2021-01-14,07:30,11:30,TD,Semestre 1,27,60,ENS-GIT-0021,OUI,NON,BIEN_UTILISE
Salle,19BP2,Bases de données,GIT,5,ING,2020/2021,2020-11-10,12:30,16:30,TD,Semestre 1,27,60,ENS-GIT-0013,OUI,NON,BIEN_UTILISE
Labo,Labo-INFO,Bases de données,GIT,5,ING,2020/2021,2020-11-05,12:30,16:30,TP,Semestre 1,18,50,ENS-GIT-0008,NON,NON,BIEN_UTILISE
Labo,Labo-INFO,Bases de données,GIT,5,ING,2020/2021,2020-12-02,07:30,11:30,TP,Semestre 1,18,50,ENS-GIT-0017,NON,NON,BIEN_UTILISE
Amphi,Amphi-1100,Physique Générale I,Tronc_commun,1,ING,2020/2021,2020-09-26,07:30,11:30,CM,Semestre 1,600,1100,ENS-GAM-0006,OUI,OUI,BIEN_UTILISE
Amphi,Amphi-1100,Physique Générale I,Tronc_commun,1,ING,2020/2021,2020-12-05,07:30,11:30,CM,Semestre 1,600,1100,ENS-METEO-0007,OUI,NON,BIEN_UTILISE
Amphi,Amphi-1100,Physique Générale I,Tronc_commun,1,ING,2020/2021,2020-09-09,07:30,11:30,CM,Semestre 1,600,1100,ENS-GM-0008,OUI,NON,BIEN_UTILISE
Salle,18BP1,Physique Générale I,Tronc_commun,1,ING,2020/2021,2020-10-23,07:30,11:30,TD,Semestre 1,300,60,ENS-GE-0003,NON,NON,BIEN_UTILISE
Salle,08BP0,Physique Générale I,Tronc_commun,1,ING,2020/2021,2020-10-30,12:30,16:30,TD,Semestre 1,300,60,ENS-METEO-0001,NON,NON,BIEN_UTILISE
Labo,Labo-Physique2,Physique Générale I,Tronc_commun,1,ING,2020/2021,2020-11-17,07:30,11:30,TP,Semestre 1,200,40,ENS-GCI-0002,NON,NON,BIEN_UTILISE
Labo,Labo-Physique1,Physique Générale I,Tronc_commun,1,ING,2020/2021,2020-10-29,07:30,11:30,TP,Semestre 1,200,40,ENS-GCI-0003,NON,NON,BIEN_UTILISE
Salle,33BS2,Cours GESI N4S1-3,GESI,4,ING,2020/2021,2020-09-08,07:30,11:30,CM,Semestre 1,70,120,ENS-GIT-0013,OUI,NON,BIEN_UTILISE
Salle,27BP2,Cours GESI N4S1-3,GESI,4,ING,2020/2021,2020-09-14,12:30,16:30,CM,Semestre 1,70,120,ENS-GIT-0024,OUI,NON,BIEN_UTILISE
Salle,21BS2,Cours GESI N4S1-3,GESI,4,ING,2020/2021,2020-10-02,12:30,16:30,CM,Semestre 1,70,120,ENS-GIT-0007,NON,NON,BIEN_UTILISE
Salle,25BS2,Cours GESI N4S1-3,GESI,4,ING,2020/2021,2020-10-21,07:30,11:30,TD,Semestre 1,35,60,ENS-GIT-0006,NON,NON,BIEN_UTILISE
Salle,19BS1,Cours GESI N4S1-3,GESI,4,ING,2020/2021,2020-10-29,07:30,11:30,TD,Semestre 1,35,60,ENS-GIT-0016,NON,NON,BIEN_UTILISE
Labo,Labo-INFO,Cours GESI N4S1-3,GESI,4,ING,2020/2021,2020-10-26,12:30,16:30,TP,Semestre 1,23,50,ENS-GIT-0019,NON,NON,BIEN_UTILISE
Labo,Labo-INFO,Cours GESI N4S1-3,GESI,4,ING,2020/2021,2020-09-01,12:30,16:30,TP,Semestre 1,23,50,ENS-GIT-0003,NON,NON,BIEN_UTILISE
Salle,26BS2,Systèmes Électriques,GE,4,ING,2020/2021,2020-12-08,12:30,16:30,CM,Semestre 1,66,120,ENS-GE-0007,NON,NON,BIEN_UTILISE
Salle,31BS2,Systèmes Électriques,GE,4,ING,2020/2021,2020-10-05,07:30,11:30,CM,Semestre 1,66,120,ENS-GE-0008,OUI,NON,BIEN_UTILISE
Salle,27BP2,Systèmes Électriques,GE,4,ING,2020/2021,2020-10-03,12:30,16:30,CM,Semestre 1,66,120,ENS-GE-0001,OUI,NON,BIEN_UTILISE
Salle,27BS2,Systèmes Électriques,GE,4,ING,2020/2021,2020-12-19,07:30,11:30,TD,Semestre 1,33,120,ENS-GE-0007,OUI,NON,BIEN_UTILISE
Salle,25BS2,Systèmes Électriques,GE,4,ING,2020/2021,2021-01-13,12:30,16:30,TD,Semestre 1,33,60,ENS-GE-0009,NON,NON,BIEN_UTILISE
Labo,Labo-Energie,Systèmes Électriques,GE,4,ING,2020/2021,2020-11-11,07:30,11:30,TP,Semestre 1,22,40,ENS-GE-0002,NON,NON,BIEN_UTILISE
Labo,Labo-Energie,Systèmes Électriques,GE,4,ING,2020/2021,2020-09-10,12:30,16:30,TP,Semestre 1,22,40,ENS-GE-0004,NON,NON,BIEN_UTILISE
Salle,20BS2,Cours GQHSE N4S1-1,GQHSE,4,ING,2020/2021,2020-09-25,07:30,11:30,CM,Semestre 1,52,120,ENS-GQHSE-0004,OUI,NON,BIEN_UTILISE
Salle,08BP0,Cours GQHSE N4S1-1,GQHSE,4,ING,2020/2021,2020-10-10,07:30,11:30,CM,Semestre 1,52,60,ENS-GQHSE-0002,NON,NON,BIEN_UTILISE
Salle,07BP0,Cours GQHSE N4S1-1,GQHSE,4,ING,2020/2021,2020-11-25,07:30,11:30,CM,Semestre 1,52,60,ENS-GQHSE-0008,OUI,NON,BIEN_UTILISE
Salle,19BP2,Cours GQHSE N4S1-1,GQHSE,4,ING,2020/2021,2020-10-02,07:30,11:30,TD,Semestre 1,26,60,ENS-GQHSE-0006,OUI,OUI,SOUS_UTILISE
Salle,34BS1,Cours GQHSE N4S1-1,GQHSE,4,ING,2020/2021,2020-10-10,12:30,16:30,TD,Semestre 1,26,60,ENS-GQHSE-0006,OUI,NON,BIEN_UTILISE
Labo,Labo-Physique2,Cours GQHSE N4S1-1,GQHSE,4,ING,2020/2021,2020-11-21,07:30,11:30,TP,Semestre 1,17,40,ENS-GQHSE-0006,NON,NON,BIEN_UTILISE
Labo,Labo-GPR-Chimie2,Cours GQHSE N4S1-1,GQHSE,4,ING,2020/2021,2020-11-24,07:30,11:30,TP,Semestre 1,17,30,ENS-GQHSE-0008,NON,NON,BIEN_UTILISE
Salle,31BP2,Systèmes d'exploitation,GIT,3,ING,2020/2021,2021-01-07,07:30,11:30,CM,Semestre 1,8,120,ENS-GIT-0005,OUI,NON,BIEN_UTILISE
Salle,26BP2,Systèmes d'exploitation,GIT,3,ING,2020/2021,2020-09-05,07:30,11:30,CM,Semestre 1,8,120,ENS-GIT-0005,OUI,NON,BIEN_UTILISE
Salle,31BP1,Systèmes d'exploitation,GIT,3,ING,2020/2021,2020-11-03,07:30,11:30,CM,Semestre 1,8,60,ENS-GIT-0010,OUI,NON,BIEN_UTILISE
Salle,32BP2,Systèmes d'exploitation,GIT,3,ING,2020/2021,2021-01-15,07:30,11:30,TD,Semestre 1,4,60,ENS-GIT-0015,NON,NON,BIEN_UTILISE
