Matricule,Annee_academique,Niveau,Cursus,Filiere,Age,Annee_naissance,Genre,Distance_domicile_ecole,Travaille,Note_moy_CC_S1,Note_moy_SN_S1,Note_moy_CC_S2,Note_moy_SN_S2,Moyenne_S1,Moyenne_S2,Moyenne_annuelle,Nb_matieres_validees,Nb_credits_obtenus,Nb_matieres_non_validees,Nb_heures_cours_total,Nb_heures_presence,Nb_projets,Reussite
20G83116,2020/2021,1,ING,Tronc_commun,18,2002,M,<5km,NON,5.52,6.0,5.69,7.67,5.81,6.87,6.34,9,27,11,420,283,3,0
20G88966,2020/2021,1,ING,Tronc_commun,19,2001,F,>15km,NON,9.91,13.92,11.57,10.12,12.32,10.7,11.51,18,54,2,420,364,3,1
20G15276,2020/2021,1,ING,Tronc_commun,17,2003,M,<5km,NON,14.0,16.83,16.26,15.54,15.7,15.83,15.76,18,54,2,420,319,3,1
20G53652,2020/2021,1,ING,Tronc_commun,18,2002,F,<5km,NON,6.71,6.97,7.89,6.3,6.87,6.94,6.9,14,42,6,420,193,3,0
20G89463,2020/2021,1,ING,Tronc_commun,19,2001,M,5-15km,NON,2.51,4.27,5.83,5.99,3.57,5.92,4.75,11,33,9,420,307,3,0
20G90356,2020/2021,1,ING,Tronc_commun,18,2002,M,5-15km,NON,17.57,18.98,15.77,17.07,18.42,16.55,17.48,19,57,1,420,393,3,1
20G90805,2020/2021,1,ING,Tronc_commun,19,2001,F,>15km,NON,4.55,5.35,4.87,8.13,5.03,6.83,5.93,10,30,10,420,182,3,0
20G54089,2020/2021,1,ING,Tronc_commun,19,2001,F,>15km,NON,14.32,16.78,14.96,17.39,15.79,16.42,16.11,18,54,2,420,357,3,1
20G83783,2020/2021,1,ING,Tronc_commun,18,2002,F,<5km,NON,5.46,6.48,5.6,6.44,6.07,6.1,6.09,12,36,8,420,240,3,0
20G58281,2020/2021,1,ING,Tronc_commun,18,2002,M,5-15km,NON,8.86,12.61,8.87,12.0,11.11,10.75,10.93,18,54,2,420,402,3,1
20G86507,2020/2021,1,ING,Tronc_commun,18,2002,M,>15km,NON,6.05,6.16,4.79,5.97,6.12,5.5,5.81,10,30,10,420,265,3,0
20G72205,2020/2021,1,ING,Tronc_commun,18,2002,M,>15km,NON,12.09,13.76,10.73,14.25,13.09,12.84,12.97,20,60,0,420,365,3,1
20G16731,2020/2021,1,ING,Tronc_commun,19,2001,F,<5km,NON,13.41,14.31,14.6,16.11,13.95,15.51,14.73,19,57,1,420,332,3,1
20G78712,2020/2021,1,ING,Tronc_commun,19,2001,F,<5km,NON,11.57,9.02,10.02,10.82,10.04,10.5,10.27,9,27,11,420,281,3,0
20G99224,2020/2021,1,ING,Tronc_commun,17,2003,M,>15km,NON,16.82,18.06,18.61,17.8,17.56,18.13,17.84,19,57,1,420,401,3,1
20G24404,2020/2021,1,ING,Tronc_commun,17,2003,M,5-15km,NON,13.36,13.95,16.01,14.63,13.72,15.19,14.45,20,60,0,420,404,3,1
20G51116,2020/2021,1,ING,Tronc_commun,18,2002,M,5-15km,NON,2.84,4.4,3.78,5.63,3.77,4.89,4.33,13,39,7,420,196,3,0
20G36724,2020/2021,1,ING,Tronc_commun,18,2002,F,>15km,NON,9.45,10.64,11.81,10.31,10.16,10.91,10.54,19,57,1,420,346,3,1
20G18163,2020/2021,1,ING,Tronc_commun,19,2001,M,>15km,NON,11.2,14.52,13.76,15.37,13.19,14.73,13.96,18,54,2,420,341,3,1
20G37176,2020/2021,1,ING,Tronc_commun,19,2001,F,>15km,NON,15.01,18.88,16.52,15.35,17.33,15.82,16.57,20,60,0,420,349,3,1
20G72701,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,11.3,11.37,12.87,14.29,11.34,13.72,12.53,18,54,2,420,367,3,1
20G32699,2020/2021,1,ING,Tronc_commun,18,2002,F,>15km,NON,9.63,11.73,9.81,9.77,10.89,9.78,10.34,19,57,1,420,392,3,1
20G56437,2020/2021,1,ING,Tronc_commun,19,2001,F,>15km,NON,12.08,12.84,10.79,9.64,12.53,10.1,11.32,20,60,0,420,410,3,1
20G73462,2020/2021,1,ING,Tronc_commun,17,2003,M,5-15km,NON,16.7,17.22,16.43,16.77,17.01,16.64,16.83,19,57,1,420,334,3,1
20G83149,2020/2021,1,ING,Tronc_commun,18,2002,M,5-15km,NON,8.95,8.9,9.28,10.19,8.92,9.83,9.37,15,45,5,420,393,3,1
20G47880,2020/2021,1,ING,Tronc_commun,19,2001,M,>15km,OUI,6.2,7.2,4.86,9.01,6.8,7.35,7.07,14,42,6,420,322,3,0
20G74094,2020/2021,1,ING,Tronc_commun,18,2002,F,5-15km,NON,15.89,15.84,15.1,14.7,15.86,14.86,15.36,19,57,1,420,322,3,1
20G83464,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,11.87,14.23,13.45,14.68,13.28,14.19,13.74,18,54,2,420,326,3,1
20G25974,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,17.96,19.04,18.14,18.14,18.61,18.14,18.38,20,60,0,420,375,3,1
20G55237,2020/2021,1,ING,Tronc_commun,17,2003,F,<5km,NON,11.4,11.42,11.19,11.59,11.41,11.43,11.42,19,57,1,420,321,3,1
20G47700,2020/2021,1,ING,Tronc_commun,19,2001,M,5-15km,NON,11.24,11.07,10.69,13.13,11.13,12.15,11.64,18,54,2,420,346,3,1
20G67983,2020/2021,1,ING,Tronc_commun,19,2001,F,>15km,NON,15.59,14.37,14.2,14.4,14.86,14.32,14.59,19,57,1,420,376,3,1
20G72793,2020/2021,1,ING,Tronc_commun,17,2003,M,>15km,NON,19.09,17.45,18.26,16.92,18.11,17.46,17.78,18,54,2,420,360,3,1
20G45537,2020/2021,1,ING,Tronc_commun,19,2001,F,<5km,NON,9.24,11.34,9.73,12.82,10.5,11.58,11.04,18,54,2,420,383,3,1
20G24316,2020/2021,1,ING,Tronc_commun,19,2001,M,<5km,NON,15.08,17.67,15.86,17.54,16.64,16.87,16.75,18,54,2,420,369,3,1
20G16653,2020/2021,1,ING,Tronc_commun,19,2001,M,>15km,NON,16.83,15.5,15.72,18.51,16.03,17.4,16.72,18,54,2,420,362,3,1
20G40518,2020/2021,1,ING,Tronc_commun,17,2003,M,5-15km,NON,15.93,14.77,13.2,15.24,15.23,14.42,14.83,18,54,2,420,356,3,1
20G53292,2020/2021,1,ING,Tronc_commun,19,2001,F,<5km,NON,8.66,11.23,9.5,9.37,10.2,9.42,9.81,18,54,2,420,325,3,1
20G99285,2020/2021,1,ING,Tronc_commun,17,2003,M,>15km,NON,12.13,11.08,11.01,11.51,11.5,11.31,11.4,15,45,5,420,376,3,1
20G30701,2020/2021,1,ING,Tronc_commun,18,2002,F,5-15km,NON,13.26,12.37,14.39,14.05,12.72,14.19,13.46,17,51,3,420,364,3,1
20G95267,2020/2021,1,ING,Tronc_commun,17,2003,F,5-15km,NON,18.43,16.26,16.19,19.69,17.13,18.29,17.71,19,57,1,420,339,3,1
20G47409,2020/2021,1,ING,Tronc_commun,19,2001,M,<5km,NON,12.05,14.54,12.72,12.32,13.55,12.48,13.01,19,57,1,420,387,3,1
20G95498,2020/2021,1,ING,Tronc_commun,19,2001,M,>15km,NON,12.0,12.29,12.1,12.5,12.17,12.34,12.26,19,57,1,420,322,3,1
20G14888,2020/2021,1,ING,Tronc_commun,17,2003,F,<5km,NON,7.37,6.43,3.99,4.83,6.8,4.49,5.65,10,30,10,420,191,3,0
20G14763,2020/2021,1,ING,Tronc_commun,18,2002,F,<5km,NON,17.25,19.04,17.46,18.87,18.33,18.31,18.32,20,60,0,420,393,3,1
20G47941,2020/2021,1,ING,Tronc_commun,17,2003,M,5-15km,NON,14.02,16.45,15.7,15.72,15.48,15.71,15.6,20,60,0,420,399,3,1
20G84443,2020/2021,1,ING,Tronc_commun,19,2001,M,5-15km,NON,15.05,16.06,16.07,16.22,15.66,16.16,15.91,15,45,5,420,333,3,1
20G47298,2020/2021,1,ING,Tronc_commun,18,2002,F,<5km,OUI,6.71,7.52,7.35,7.21,7.19,7.27,7.23,13,39,7,420,298,3,0
20G76088,2020/2021,1,ING,Tronc_commun,18,2002,F,<5km,NON,16.56,17.76,15.48,16.42,17.28,16.05,16.67,18,54,2,420,401,3,1
20G24764,2020/2021,1,ING,Tronc_commun,18,2002,M,>15km,OUI,6.43,6.55,4.59,5.78,6.5,5.3,5.9,10,30,10,420,244,3,0
20G70150,2020/2021,1,ING,Tronc_commun,19,2001,F,>15km,NON,5.01,5.32,6.18,7.14,5.2,6.76,5.98,10,30,10,420,230,3,0
20G34405,2020/2021,1,ING,Tronc_commun,17,2003,F,5-15km,NON,17.88,15.36,15.41,17.12,16.37,16.44,16.4,16,48,4,420,398,3,1
20G84420,2020/2021,1,ING,Tronc_commun,19,2001,M,<5km,NON,10.16,9.55,10.56,9.27,9.79,9.79,9.79,19,57,1,420,364,3,1
20G90079,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,13.65,14.54,14.15,13.55,14.18,13.79,13.98,16,48,4,420,336,3,1
20G77538,2020/2021,1,ING,Tronc_commun,18,2002,M,5-15km,NON,11.59,11.59,11.36,13.19,11.59,12.46,12.03,20,60,0,420,347,3,1
20G97720,2020/2021,1,ING,Tronc_commun,17,2003,M,<5km,NON,17.03,19.1,17.27,18.95,18.27,18.27,18.27,20,60,0,420,346,3,1
20G72580,2020/2021,1,ING,Tronc_commun,18,2002,M,<5km,NON,14.35,15.63,13.59,14.46,15.12,14.11,14.61,18,54,2,420,382,3,1
20G44181,2020/2021,1,ING,Tronc_commun,18,2002,M,5-15km,NON,6.53,6.72,8.12,5.85,6.64,6.76,6.7,10,30,10,420,310,3,0
20G44995,2020/2021,1,ING,Tronc_commun,18,2002,F,>15km,NON,16.96,19.29,19.47,19.49,18.36,19.48,18.92,20,60,0,420,339,3,1
20G85088,2020/2021,1,ING,Tronc_commun,17,2003,F,>15km,NON,5.55,5.58,6.36,5.99,5.57,6.13,5.85,10,30,10,420,212,3,0
20G57127,2020/2021,1,ING,Tronc_commun,19,2001,M,<5km,NON,11.3,11.98,12.56,13.05,11.71,12.86,12.28,18,54,2,420,318,3,1
20G97528,2020/2021,1,ING,Tronc_commun,17,2003,F,5-15km,NON,13.57,16.68,15.63,15.68,15.43,15.66,15.55,20,60,0,420,363,3,1
20G30934,2020/2021,1,ING,Tronc_commun,18,2002,F,>15km,NON,11.65,10.44,11.53,12.6,10.92,12.17,11.55,19,57,1,420,341,3,1
20G25389,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,10.84,8.77,9.97,10.27,9.59,10.15,9.87,8,24,12,420,203,3,0
20G90560,2020/2021,1,ING,Tronc_commun,17,2003,M,<5km,NON,9.38,11.76,10.44,11.92,10.8,11.33,11.07,20,60,0,420,362,3,1
20G72676,2020/2021,1,ING,Tronc_commun,17,2003,F,>15km,NON,18.81,17.96,17.67,18.77,18.3,18.33,18.31,18,54,2,420,338,3,1
20G89395,2020/2021,1,ING,Tronc_commun,18,2002,F,>15km,NON,13.97,15.22,15.28,16.86,14.72,16.23,15.47,19,57,1,420,388,3,1
20G81989,2020/2021,1,ING,Tronc_commun,18,2002,M,<5km,NON,13.0,10.92,10.44,12.64,11.75,11.76,11.76,20,60,0,420,385,3,1
20G99173,2020/2021,1,ING,Tronc_commun,19,2001,M,>15km,NON,14.93,13.54,11.91,12.51,14.1,12.27,13.18,20,60,0,420,376,3,1
20G68556,2020/2021,1,ING,Tronc_commun,19,2001,F,<5km,NON,15.76,15.26,14.46,14.85,15.46,14.7,15.08,18,54,2,420,366,3,1
20G83946,2020/2021,1,ING,Tronc_commun,17,2003,M,>15km,NON,10.12,12.51,11.93,11.72,11.55,11.8,11.68,18,54,2,420,395,3,1
20G76255,2020/2021,1,ING,Tronc_commun,17,2003,M,<5km,NON,13.6,14.48,11.02,11.28,14.13,11.18,12.65,18,54,2,420,333,3,1
20G53007,2020/2021,1,ING,Tronc_commun,19,2001,F,<5km,NON,2.3,5.52,2.69,4.54,4.23,3.8,4.01,8,24,12,420,254,3,0
20G99167,2020/2021,1,ING,Tronc_commun,17,2003,F,<5km,NON,14.27,16.11,16.42,16.12,15.37,16.24,15.8,18,54,2,420,316,3,1
20G76895,2020/2021,1,ING,Tronc_commun,18,2002,M,5-15km,NON,13.6,16.22,14.2,13.62,15.17,13.85,14.51,16,48,4,420,336,3,1
20G27294,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,13.37,16.28,13.19,15.22,15.12,14.41,14.76,20,60,0,420,331,3,1
20G83912,2020/2021,1,ING,Tronc_commun,17,2003,F,>15km,NON,14.7,17.56,15.07,17.95,16.42,16.8,16.61,20,60,0,420,352,3,1
20G50392,2020/2021,1,ING,Tronc_commun,19,2001,M,5-15km,NON,18.96,18.12,16.24,18.0,18.46,17.29,17.88,20,60,0,420,328,3,1
20G43352,2020/2021,1,ING,Tronc_commun,17,2003,M,>15km,OUI,11.03,11.77,10.33,11.59,11.48,11.08,11.28,20,60,0,420,245,3,1
20G19572,2020/2021,1,ING,Tronc_commun,17,2003,F,5-15km,NON,11.37,9.06,7.7,8.99,9.98,8.47,9.23,11,33,9,420,296,3,0
20G18357,2020/2021,1,ING,Tronc_commun,19,2001,M,<5km,NON,10.18,12.78,11.18,11.17,11.74,11.18,11.46,20,60,0,420,378,3,1
20G71875,2020/2021,1,ING,Tronc_commun,17,2003,F,5-15km,NON,16.62,17.75,18.03,17.78,17.3,17.88,17.59,20,60,0,420,368,3,1
20G33590,2020/2021,1,ING,Tronc_commun,17,2003,F,5-15km,NON,8.76,6.94,7.29,6.45,7.67,6.79,7.23,9,27,11,420,203,3,0
20G60132,2020/2021,1,ING,Tronc_commun,18,2002,F,5-15km,NON,9.55,9.8,11.5,12.84,9.7,12.3,11.0,19,57,1,420,401,3,1
20G20518,2020/2021,1,ING,Tronc_commun,19,2001,M,>15km,NON,7.89,11.54,10.98,9.08,10.08,9.84,9.96,12,36,8,420,261,3,0
20G55582,2020/2021,1,ING,Tronc_commun,17,2003,M,>15km,NON,11.45,14.57,11.29,11.33,13.32,11.32,12.32,19,57,1,420,348,3,1
20G61518,2020/2021,1,ING,Tronc_commun,19,2001,M,>15km,NON,16.79,17.59,16.36,17.26,17.27,16.9,17.09,16,48,4,420,401,3,1
20G39188,2020/2021,1,ING,Tronc_commun,17,2003,M,5-15km,NON,18.15,18.04,16.16,17.86,18.09,17.18,17.63,18,54,2,420,390,3,1
20G70686,2020/2021,1,ING,Tronc_commun,19,2001,F,>15km,NON,13.45,16.76,13.67,17.02,15.43,15.68,15.56,20,60,0,420,323,3,1
20G59712,2020/2021,1,ING,Tronc_commun,17,2003,M,5-15km,NON,4.92,4.0,3.73,3.58,4.37,3.64,4.01,14,42,6,420,300,3,0
20G55371,2020/2021,1,ING,Tronc_commun,17,2003,F,<5km,NON,9.38,6.97,8.26,6.89,7.93,7.44,7.69,9,27,11,420,169,3,0
20G24790,2020/2021,1,ING,Tronc_commun,17,2003,F,>15km,NON,6.54,6.57,4.56,4.4,6.56,4.46,5.51,11,33,9,420,265,3,0
20G12050,2020/2021,1,ING,Tronc_commun,17,2003,M,<5km,NON,11.15,10.97,11.34,11.42,11.04,11.39,11.21,20,60,0,420,330,3,1
20G23224,2020/2021,1,ING,Tronc_commun,19,2001,M,5-15km,NON,14.96,15.71,12.54,13.33,15.41,13.01,14.21,18,54,2,420,381,3,1
20G88352,2020/2021,1,ING,Tronc_commun,19,2001,M,<5km,NON,15.37,17.65,13.37,15.27,16.74,14.51,15.62,18,54,2,420,336,3,1
20G15798,2020/2021,1,ING,Tronc_commun,18,2002,F,<5km,NON,17.24,17.29,14.84,14.86,17.27,14.85,16.06,18,54,2,420,337,3,1
20G80747,2020/2021,1,ING,Tronc_commun,17,2003,M,<5km,NON,5.77,7.0,4.28,6.42,6.51,5.57,6.04,9,27,11,420,277,3,0
20G76046,2020/2021,1,ING,Tronc_commun,18,2002,M,>15km,NON,8.62,6.87,7.49,8.14,7.57,7.88,7.72,9,27,11,420,292,3,0
20G85511,2020/2021,1,ING,Tronc_commun,18,2002,F,<5km,NON,9.46,9.91,6.24,7.68,9.73,7.1,8.42,13,39,7,420,251,3,0
20G49552,2020/2021,1,ING,Tronc_commun,17,2003,M,5-15km,NON,11.62,9.74,9.21,11.05,10.5,10.31,10.4,20,60,0,420,350,3,1
20G49387,2020/2021,1,ING,Tronc_commun,18,2002,M,>15km,NON,14.02,13.07,10.76,12.82,13.45,12.0,12.72,16,48,4,420,338,3,1
20G87550,2020/2021,1,ING,Tronc_commun,19,2001,M,>15km,NON,18.42,16.88,19.26,17.0,17.5,17.9,17.7,19,57,1,420,352,3,1
20G98965,2020/2021,1,ING,Tronc_commun,18,2002,F,<5km,NON,18.98,16.79,15.86,19.23,17.67,17.88,17.77,18,54,2,420,375,3,1
20G55143,2020/2021,1,ING,Tronc_commun,19,2001,F,>15km,NON,16.19,18.28,16.53,14.88,17.45,15.54,16.49,18,54,2,420,363,3,1
20G51777,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,14.43,14.88,15.02,13.14,14.7,13.89,14.3,19,57,1,420,362,3,1
20G29558,2020/2021,1,ING,Tronc_commun,18,2002,F,<5km,NON,12.86,10.26,10.15,12.68,11.3,11.67,11.48,15,45,5,420,384,3,1
20G80507,2020/2021,1,ING,Tronc_commun,18,2002,M,<5km,NON,4.85,7.84,3.85,5.82,6.64,5.04,5.84,9,27,11,420,171,3,0
20G49418,2020/2021,1,ING,Tronc_commun,19,2001,M,5-15km,NON,15.81,16.46,15.45,15.91,16.2,15.73,15.96,20,60,0,420,332,3,1
20G17552,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,7.92,9.25,9.02,9.56,8.72,9.35,9.03,8,24,12,420,308,3,0
20G83044,2020/2021,1,ING,Tronc_commun,19,2001,M,5-15km,NON,7.66,9.78,7.89,11.34,8.93,9.96,9.44,10,30,10,420,222,3,0
20G41831,2020/2021,1,ING,Tronc_commun,18,2002,M,5-15km,NON,10.91,11.07,8.56,11.54,11.01,10.35,10.68,18,54,2,420,404,3,1
20G94765,2020/2021,1,ING,Tronc_commun,17,2003,F,5-15km,NON,15.16,15.87,12.57,14.36,15.59,13.65,14.62,20,60,0,420,408,3,1
20G22119,2020/2021,1,ING,Tronc_commun,19,2001,M,<5km,NON,19.42,18.67,17.69,19.13,18.97,18.55,18.76,18,54,2,420,397,3,1
20G45187,2020/2021,1,ING,Tronc_commun,18,2002,M,<5km,NON,11.52,11.63,10.83,12.72,11.58,11.96,11.77,20,60,0,420,352,3,1
20G34662,2020/2021,1,ING,Tronc_commun,19,2001,M,5-15km,NON,18.81,16.97,16.14,17.55,17.7,16.99,17.34,18,54,2,420,345,3,1
20G37379,2020/2021,1,ING,Tronc_commun,18,2002,F,<5km,NON,10.37,10.13,10.56,12.06,10.23,11.46,10.84,18,54,2,420,368,3,1
20G37762,2020/2021,1,ING,Tronc_commun,17,2003,M,>15km,NON,18.39,18.45,15.61,16.69,18.43,16.26,17.34,19,57,1,420,382,3,1
20G72773,2020/2021,1,ING,Tronc_commun,17,2003,M,5-15km,NON,14.46,13.2,13.1,13.68,13.71,13.45,13.58,20,60,0,420,324,3,1
20G41369,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,16.18,17.13,13.14,15.5,16.75,14.56,15.65,20,60,0,420,410,3,1
20G59894,2020/2021,1,ING,Tronc_commun,18,2002,F,5-15km,NON,9.95,12.36,12.32,13.17,11.4,12.83,12.12,18,54,2,420,365,3,1
20G44283,2020/2021,1,ING,Tronc_commun,18,2002,F,5-15km,NON,18.95,18.03,18.39,17.8,18.4,18.04,18.22,20,60,0,420,386,3,1
20G22924,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,14.81,17.51,16.42,15.16,16.43,15.66,16.05,16,48,4,420,382,3,1
20G36624,2020/2021,1,ING,Tronc_commun,18,2002,F,5-15km,NON,5.33,6.72,4.82,6.12,6.17,5.6,5.88,8,24,12,420,211,3,0
20G15992,2020/2021,1,ING,Tronc_commun,19,2001,M,>15km,NON,8.55,7.37,8.71,9.28,7.85,9.05,8.45,9,27,11,420,287,3,0
20G29126,2020/2021,1,ING,Tronc_commun,17,2003,F,>15km,NON,18.43,16.68,16.25,18.51,17.38,17.61,17.49,19,57,1,420,403,3,1
20G86550,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,14.99,14.43,14.95,14.68,14.65,14.79,14.72,15,45,5,420,363,3,1
20G29976,2020/2021,1,ING,Tronc_commun,17,2003,F,<5km,NON,14.73,16.75,14.57,16.97,15.95,16.01,15.98,19,57,1,420,377,3,1
20G59786,2020/2021,1,ING,Tronc_commun,19,2001,M,5-15km,OUI,5.84,6.3,6.15,7.63,6.12,7.04,6.58,14,42,6,420,331,3,0
20G82173,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,15.72,16.71,15.18,18.11,16.32,16.94,16.63,18,54,2,420,347,3,1
20G74044,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,12.09,15.28,14.22,13.8,14.0,13.97,13.99,17,51,3,420,324,3,1
20G32050,2020/2021,1,ING,Tronc_commun,19,2001,F,<5km,NON,14.4,13.65,14.51,15.83,13.95,15.3,14.62,15,45,5,420,318,3,1
20G28344,2020/2021,1,ING,Tronc_commun,19,2001,F,<5km,NON,14.54,15.79,14.24,14.99,15.29,14.69,14.99,19,57,1,420,367,3,1
20G81058,2020/2021,1,ING,Tronc_commun,19,2001,M,>15km,NON,13.14,13.48,12.43,14.69,13.34,13.78,13.56,19,57,1,420,372,3,1
20G14433,2020/2021,1,ING,Tronc_commun,17,2003,M,<5km,NON,11.45,11.54,8.63,9.99,11.5,9.44,10.47,19,57,1,420,318,3,1
20G64053,2020/2021,1,ING,Tronc_commun,17,2003,M,<5km,NON,7.43,10.94,7.89,8.81,9.53,8.44,8.99,9,27,11,420,220,3,0
20G29795,2020/2021,1,ING,Tronc_commun,17,2003,M,>15km,NON,12.17,13.05,10.83,9.64,12.7,10.11,11.41,19,57,1,420,365,3,1
20G69770,2020/2021,1,ING,Tronc_commun,18,2002,M,>15km,NON,7.67,8.44,8.84,9.07,8.13,8.98,8.56,11,33,9,420,199,3,0
20G93588,2020/2021,1,ING,Tronc_commun,19,2001,F,>15km,NON,14.29,16.08,16.15,15.61,15.36,15.83,15.6,19,57,1,420,323,3,1
20G73944,2020/2021,1,ING,Tronc_commun,17,2003,M,>15km,NON,9.05,10.84,8.68,9.75,10.13,9.32,9.72,19,57,1,420,366,3,1
20G82305,2020/2021,1,ING,Tronc_commun,18,2002,M,<5km,NON,15.47,15.0,13.27,15.48,15.19,14.59,14.89,19,57,1,420,376,3,1
20G79391,2020/2021,1,ING,Tronc_commun,19,2001,F,>15km,NON,16.19,15.61,14.2,16.09,15.84,15.33,15.59,19,57,1,420,409,3,1
20G47576,2020/2021,1,ING,Tronc_commun,17,2003,F,<5km,NON,15.39,15.72,13.65,14.61,15.58,14.22,14.9,18,54,2,420,346,3,1
20G24026,2020/2021,1,ING,Tronc_commun,17,2003,M,<5km,NON,16.68,17.88,17.6,17.89,17.4,17.77,17.59,19,57,1,420,341,3,1
20G35156,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,13.82,12.79,14.24,13.28,13.21,13.66,13.43,20,60,0,420,322,3,1
20G45038,2020/2021,1,ING,Tronc_commun,18,2002,M,5-15km,NON,3.89,6.58,3.53,3.01,5.5,3.21,4.36,8,24,12,420,309,3,0
20G63218,2020/2021,1,ING,Tronc_commun,18,2002,M,>15km,NON,18.08,18.6,14.94,18.79,18.39,17.25,17.82,18,54,2,420,382,3,1
20G39603,2020/2021,1,ING,Tronc_commun,18,2002,M,>15km,NON,5.85,8.36,7.88,5.85,7.35,6.66,7.01,13,39,7,420,193,3,0
20G95182,2020/2021,1,ING,Tronc_commun,17,2003,M,5-15km,NON,12.1,11.38,10.99,10.6,11.66,10.75,11.21,16,48,4,420,339,3,1
20G59710,2020/2021,1,ING,Tronc_commun,18,2002,F,<5km,NON,16.09,16.25,13.01,16.88,16.19,15.33,15.76,18,54,2,420,384,3,1
20G93459,2020/2021,1,ING,Tronc_commun,17,2003,M,<5km,OUI,16.18,15.77,16.54,13.68,15.93,14.82,15.38,18,54,2,420,266,3,1
20G75517,2020/2021,1,ING,Tronc_commun,18,2002,F,>15km,NON,10.42,11.85,10.13,9.95,11.28,10.02,10.65,11,33,9,420,276,3,0
20G22499,2020/2021,1,ING,Tronc_commun,19,2001,M,<5km,NON,13.86,13.68,14.85,15.25,13.75,15.09,14.42,18,54,2,420,374,3,1
20G37710,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,15.06,14.16,11.49,12.01,14.52,11.8,13.16,19,57,1,420,338,3,1
20G16102,2020/2021,1,ING,Tronc_commun,17,2003,F,>15km,NON,13.61,11.92,13.77,15.28,12.59,14.68,13.64,19,57,1,420,388,3,1
20G83860,2020/2021,1,ING,Tronc_commun,19,2001,M,<5km,NON,11.67,8.97,10.0,11.58,10.05,10.95,10.5,18,54,2,420,326,3,1
20G51220,2020/2021,1,ING,Tronc_commun,17,2003,M,>15km,NON,10.69,11.32,11.98,11.01,11.07,11.4,11.23,18,54,2,420,318,3,1
20G28899,2020/2021,1,ING,Tronc_commun,19,2001,F,<5km,NON,17.78,17.03,18.69,18.54,17.33,18.6,17.96,18,54,2,420,382,3,1
